"State.Territory","Pop.1990","X..pop1990","Pop.2000","X..pop2000","Pop.2010","X..pop2010","Pop.2012","X..pop2012","X..growth.2000.2012","X..pop1990.2012","state_abb"
"Alabama","2,960,167","73.3%","3,125,819","70.3%","3,204,402","67.0%","3,212,468","66.6%","+2.8%","-6.7 pp","AL"
"Alaska","406,722","73.9%","423,788","67.6%","455,320","64.1%","460,453","63.0%","+8.7%","-10.9 pp","AK"
"Arizona","2,626,185","71.7%","3,274,258","63.8%","3,695,647","57.8%","3,730,370","56.9%","+13.9%","-14.8 pp","AZ"
"Arkansas","1,933,082","82.2%","2,100,135","78.6%","2,173,469","74.5%","2,179,168","73.9%","+3.8%","-8.3 pp","AR"
"California","17,029,126","57.2%","15,816,790","46.7%","14,956,253","40.1%","14,904,055","39.2%","-5.8%","-18.0 pp","CA"
"Colorado","2,658,945","80.7%","3,202,880","74.5%","3,520,793","70.0%","3,599,838","69.4%","+12.4%","-11.3 pp","CO"
"Connecticut","2,754,184","83.8%","2,638,845","77.5%","2,546,262","71.2%","2,512,773","70.0%","-4.8%","-13.8 pp","CT"
"Delaware","528,092","79.3%","567,973","72.5%","586,752","65.3%","589,642","64.3%","+3.8%","-15.0 pp","DE"
"District of Columbia","166,131","27.4%","159,178","27.8%","209,464","34.8%","222,975","35.3%","+40.1%","+7.9 pp","DC"
"Florida","9,475,326","73.2%","10,458,509","65.4%","10,884,722","57.9%","10,966,711","56.8%","+4.9%","-16.4 pp","FL"
"Georgia","4,543,425","70.1%","5,128,661","62.6%","5,413,920","55.9%","5,460,416","55.0%","+6.5%","-15.1 pp","GA"
"Hawaii","347,644","31.4%","277,091","22.9%","309,343","22.7%","317,032","22.8%","+14.4%","-8.6 pp","HI"
"Idaho","928,661","92.2%","1,139,291","88.0%","1,316,243","84.0%","1,330,942","83.4%","+16.8%","-8.8 pp","ID"
"Illinois","8,550,208","74.8%","8,424,140","67.8%","8,167,753","63.7%","8,093,687","62.9%","-3.9%","-11.9 pp","IL"
"Indiana","4,965,242","89.6%","5,219,373","85.8%","5,286,453","81.5%","5,289,249","80.9%","+1.3%","-8.7 pp","IN"
"Iowa","2,663,840","95.9%","2,710,344","92.6%","2,701,123","88.7%","2,705,704","88.0%","-0.2%","-7.9 pp","IA"
"Kansas","2,190,524","88.4%","2,233,997","83.1%","2,230,539","78.2%","2,234,826","77.4%","0.0%","-11.0 pp","KS"
"Kentucky","3,378,022","91.7%","3,608,013","89.3%","3,745,655","86.3%","3,760,302","85.8%","+4.2%","-5.9 pp","KY"
"Louisiana","2,776,022","65.8%","2,794,391","62.5%","2,734,884","60.3%","2,748,748","59.7%","-1.6%","-6.1 pp","LA"
"Maine","1,203,357","98.0%","1,230,297","96.5%","1,254,297","94.4%","1,250,688","94.1%","+1.7%","-3.9 pp","ME"
"Maryland","3,326,109","69.6%","3,286,547","62.1%","3,157,958","54.7%","3,166,263","53.8%","-3.7%","-15.8 pp","MD"
